variant,gamma,model_seed,total_cost,trace_seed
standard_dqn,0.95,814,74.06739600002766,3314004
standard_dqn,0.95,814,70.1579740613699,3314005
standard_dqn,0.95,814,73.49375332891941,3314006
standard_dqn,0.95,814,65.66049287468195,3314007
standard_dqn,0.95,814,77.25502336025238,3314008
standard_dqn,0.95,814,76.62387163192034,3314009
standard_dqn,0.95,814,86.70877521634102,3314010
standard_dqn,0.95,814,77.10325753092766,3314011
standard_dqn,0.95,814,63.29379618167877,3314012
standard_dqn,0.95,814,95.85029610991478,3314013
standard_dqn,0.95,814,92.72545123994351,3314014
standard_dqn,0.95,814,97.50745081156492,3314015
standard_dqn,0.95,814,64.83273942023516,3314016
standard_dqn,0.95,814,77.90885683894157,3314017
standard_dqn,0.95,814,82.18210654258728,3314018
standard_dqn,0.95,814,85.96366534233093,3314019
standard_dqn,0.95,815,89.68644572198392,3315000
standard_dqn,0.95,815,74.82373709529638,3315001
standard_dqn,0.95,815,67.33275130391121,3315002
standard_dqn,0.95,815,91.85459260642529,3315003
standard_dqn,0.95,815,90.18011764734983,3315004
standard_dqn,0.95,815,79.07397299259901,3315005
standard_dqn,0.95,815,86.09991635382175,3315006
standard_dqn,0.95,815,73.69276076555252,3315007
standard_dqn,0.95,815,85.35850454121828,3315008
standard_dqn,0.95,815,89.01279230415821,3315009
standard_dqn,0.95,815,82.65000998228788,3315010
standard_dqn,0.95,815,69.42349523454905,3315011
standard_dqn,0.95,815,83.54473019391298,3315012
standard_dqn,0.95,815,74.37119183838368,3315013
standard_dqn,0.95,815,79.92060650289059,3315014
standard_dqn,0.95,815,75.81359377503395,3315015
standard_dqn,0.95,815,76.92487165480853,3315016
standard_dqn,0.95,815,106.79340482652188,3315017
standard_dqn,0.95,815,82.36401814222336,3315018
standard_dqn,0.95,815,66.2792654722929,3315019
standard_dqn,0.95,816,80.33910939097404,3316000
standard_dqn,0.95,816,81.61104486882687,3316001
standard_dqn,0.95,816,62.84576413780451,3316002
standard_dqn,0.95,816,70.78341505080462,3316003
standard_dqn,0.95,816,72.13996256887913,3316004
standard_dqn,0.95,816,65.99881156682969,3316005
standard_dqn,0.95,816,65.8529382660985,3316006
standard_dqn,0.95,816,81.66312486827374,3316007
standard_dqn,0.95,816,74.60712613165379,3316008
standard_dqn,0.95,816,82.95309378504753,3316009
standard_dqn,0.95,816,69.18598586320877,3316010
standard_dqn,0.95,816,59.93262607604265,3316011
standard_dqn,0.95,816,71.83263272941113,3316012
standard_dqn,0.95,816,72.64597982913256,3316013
standard_dqn,0.95,816,84.05790098309517,3316014
standard_dqn,0.95,816,72.26518826335669,3316015
standard_dqn,0.95,816,82.60801474004984,3316016
standard_dqn,0.95,816,82.19919899255038,3316017
standard_dqn,0.95,816,71.40497477352619,3316018
standard_dqn,0.95,816,76.40890286415815,3316019
standard_dqn,0.95,817,85.79542198181153,3317000
standard_dqn,0.95,817,76.41303446143866,3317001
standard_dqn,0.95,817,77.39223540723324,3317002
standard_dqn,0.95,817,71.33161355555058,3317003
standard_dqn,0.95,817,79.37905376553536,3317004
standard_dqn,0.95,817,86.47871191203595,3317005
standard_dqn,0.95,817,71.68012794256211,3317006
standard_dqn,0.95,817,85.3749175310135,3317007
standard_dqn,0.95,817,83.64011107385159,3317008
standard_dqn,0.95,817,45.67660776823759,3317009
standard_dqn,0.95,817,73.95721586197615,3317010
standard_dqn,0.95,817,85.53517834842205,3317011
standard_dqn,0.95,817,81.12561950087547,3317012
standard_dqn,0.95,817,86.34936748743057,3317013
standard_dqn,0.95,817,74.36687015742064,3317014
standard_dqn,0.95,817,88.3729978531599,3317015
standard_dqn,0.95,817,82.92283552885056,3317016
standard_dqn,0.95,817,84.05007661283017,3317017
standard_dqn,0.95,817,80.51572434604168,3317018
standard_dqn,0.95,817,60.17043718844652,3317019
standard_dqn,0.95,818,78.34301902353764,3318000
standard_dqn,0.95,818,75.95335144996643,3318001
standard_dqn,0.95,818,78.17450972795487,3318002
standard_dqn,0.95,818,78.25902754217387,3318003
standard_dqn,0.95,818,76.01741497367621,3318004
standard_dqn,0.95,818,69.48251594603062,3318005
standard_dqn,0.95,818,80.53659781217576,3318006
standard_dqn,0.95,818,69.55911670029164,3318007
standard_dqn,0.95,818,79.63368818163872,3318008
standard_dqn,0.95,818,87.21142307221889,3318009
standard_dqn,0.95,818,74.2001088500023,3318010
standard_dqn,0.95,818,84.7461136892438,3318011
standard_dqn,0.95,818,94.86109817177058,3318012
standard_dqn,0.95,818,73.35228481292725,3318013
standard_dqn,0.95,818,86.51426562070847,3318014
standard_dqn,0.95,818,74.9240859478712,3318015
standard_dqn,0.95,818,63.16554859429598,3318016
standard_dqn,0.95,818,72.46064807027578,3318017
standard_dqn,0.95,818,98.95721398293972,3318018
standard_dqn,0.95,818,89.9306270852685,3318019
standard_dqn,0.95,819,77.4747091472149,3319000
standard_dqn,0.95,819,87.92380839139223,3319001
standard_dqn,0.95,819,73.04244666546583,3319002
standard_dqn,0.95,819,74.52413384616375,3319003
standard_dqn,0.95,819,89.3600609689951,3319004
standard_dqn,0.95,819,67.89799963831902,3319005
standard_dqn,0.95,819,68.72901069670915,3319006
standard_dqn,0.95,819,83.28803067654371,3319007
standard_dqn,0.95,819,79.21577872335911,3319008
standard_dqn,0.95,819,83.82315660268068,3319009
standard_dqn,0.95,819,82.08375805765391,3319010
standard_dqn,0.95,819,82.3704133182764,3319011
standard_dqn,0.95,819,73.77076554298401,3319012
standard_dqn,0.95,819,80.47349320352077,3319013
standard_dqn,0.95,819,68.90035886317492,3319014
standard_dqn,0.95,819,86.83287888765335,3319015
standard_dqn,0.95,819,62.97904521226883,3319016
standard_dqn,0.95,819,76.62794517874718,3319017
standard_dqn,0.95,819,76.05328439325095,3319018
standard_dqn,0.95,819,79.7583271637559,3319019
full_action_q_dqn,0.95,800,78.38411390036345,3300000
full_action_q_dqn,0.95,800,77.90215105116367,3300001
full_action_q_dqn,0.95,800,72.26756994575263,3300002
full_action_q_dqn,0.95,800,87.09281160086394,3300003
full_action_q_dqn,0.95,800,80.0247862637043,3300004
full_action_q_dqn,0.95,800,74.85909856259823,3300005
full_action_q_dqn,0.95,800,72.40546604543924,3300006
full_action_q_dqn,0.95,800,75.74751464277506,3300007
full_action_q_dqn,0.95,800,97.47630932331086,3300008
full_action_q_dqn,0.95,800,74.24947225600481,3300009
full_action_q_dqn,0.95,800,78.20596483498812,3300010
full_action_q_dqn,0.95,800,76.70609187483788,3300011
full_action_q_dqn,0.95,800,79.7959596157074,3300012
full_action_q_dqn,0.95,800,66.16701890826225,3300013
full_action_q_dqn,0.95,800,72.60100018978119,3300014
full_action_q_dqn,0.95,800,87.62508483231068,3300015
full_action_q_dqn,0.95,800,71.05974628925324,3300016
full_action_q_dqn,0.95,800,79.18352687507868,3300017
full_action_q_dqn,0.95,800,84.67876927554607,3300018
full_action_q_dqn,0.95,800,70.63515283167362,3300019
full_action_q_dqn,0.95,801,93.0157028079033,3301000
full_action_q_dqn,0.95,801,82.96347869336606,3301001
full_action_q_dqn,0.95,801,81.15297420620918,3301002
full_action_q_dqn,0.95,801,78.38222626596689,3301003
full_action_q_dqn,0.95,801,61.2660180196166,3301004
full_action_q_dqn,0.95,801,82.87313933074475,3301005
full_action_q_dqn,0.95,801,69.50558254122734,3301006
full_action_q_dqn,0.95,801,95.49801358878612,3301007
full_action_q_dqn,0.95,801,75.63053693771363,3301008
full_action_q_dqn,0.95,801,80.83162232637406,3301009
full_action_q_dqn,0.95,801,89.27076248824596,3301010
full_action_q_dqn,0.95,801,56.4120754763484,3301011
full_action_q_dqn,0.95,801,79.44074784964323,3301012
full_action_q_dqn,0.95,801,73.93542696982622,3301013
full_action_q_dqn,0.95,801,78.30867043882608,3301014
full_action_q_dqn,0.95,801,73.97786746323109,3301015
full_action_q_dqn,0.95,801,68.09482508152723,3301016
full_action_q_dqn,0.95,801,73.11955825984478,3301017
full_action_q_dqn,0.95,801,95.18271508216858,3301018
full_action_q_dqn,0.95,801,91.34493594020606,3301019
full_action_q_dqn,0.95,802,73.81668930649758,3302000
full_action_q_dqn,0.95,802,91.00043755024672,3302001
full_action_q_dqn,0.95,802,87.95924589335918,3302002
full_action_q_dqn,0.95,802,82.16399708539248,3302003
full_action_q_dqn,0.95,802,86.74354505836963,3302004
full_action_q_dqn,0.95,802,65.97947438061237,3302005
full_action_q_dqn,0.95,802,90.27321238219739,3302006
full_action_q_dqn,0.95,802,86.63471414148808,3302007
full_action_q_dqn,0.95,802,87.35197125524283,3302008
full_action_q_dqn,0.95,802,66.08636412918568,3302009
full_action_q_dqn,0.95,802,72.48330679684878,3302010
full_action_q_dqn,0.95,802,68.29899402856827,3302011
full_action_q_dqn,0.95,802,74.91606828719378,3302012
full_action_q_dqn,0.95,802,79.35607728511096,3302013
full_action_q_dqn,0.95,802,78.5537333726883,3302014
full_action_q_dqn,0.95,802,72.33209747076035,3302015
full_action_q_dqn,0.95,802,80.65133256465197,3302016
full_action_q_dqn,0.95,802,78.53664871305227,3302017
full_action_q_dqn,0.95,802,79.46157014369965,3302018
full_action_q_dqn,0.95,802,77.4835042744875,3302019
full_action_q_dqn,0.95,803,74.19239139556885,3303000
full_action_q_dqn,0.95,803,70.01496274024248,3303001
full_action_q_dqn,0.95,803,78.77016865611077,3303002
