variant,model_seed,checkpoint_episode,total_cost,trace_seed
standard_dqn,805,600,70.4304049834609,3305012
standard_dqn,805,600,84.94416844248772,3305013
standard_dqn,805,600,59.1586633220315,3305014
standard_dqn,805,600,75.00187431573868,3305015
standard_dqn,805,600,73.69923253655433,3305016
standard_dqn,805,600,69.12415261566639,3305017
standard_dqn,805,600,96.85631047189236,3305018
standard_dqn,805,600,78.38959756046533,3305019
standard_dqn,805,900,88.45485928058625,3305000
standard_dqn,805,900,83.97771601378918,3305001
standard_dqn,805,900,60.94535779953003,3305002
standard_dqn,805,900,77.09197521358729,3305003
standard_dqn,805,900,93.7361878991127,3305004
standard_dqn,805,900,89.23206580430269,3305005
standard_dqn,805,900,74.99025110155344,3305006
standard_dqn,805,900,83.10308004915714,3305007
standard_dqn,805,900,90.03259774595499,3305008
standard_dqn,805,900,76.24768072366714,3305009
standard_dqn,805,900,83.77332325577736,3305010
standard_dqn,805,900,65.89325260967016,3305011
standard_dqn,805,900,71.39433598518372,3305012
standard_dqn,805,900,84.19998726248741,3305013
standard_dqn,805,900,59.601707850396636,3305014
standard_dqn,805,900,74.62804020494222,3305015
standard_dqn,805,900,74.16252877116203,3305016
standard_dqn,805,900,69.44765003025532,3305017
standard_dqn,805,900,96.9129966571927,3305018
standard_dqn,805,900,77.71439015418291,3305019
standard_dqn,806,300,90.83765269815922,3306000
standard_dqn,806,300,74.90011882930995,3306001
standard_dqn,806,300,85.82385525107384,3306002
standard_dqn,806,300,59.36561372876167,3306003
standard_dqn,806,300,83.54919088631868,3306004
standard_dqn,806,300,91.63601945340633,3306005
standard_dqn,806,300,84.14145772904158,3306006
standard_dqn,806,300,93.78076282143593,3306007
standard_dqn,806,300,83.48717889934778,3306008
standard_dqn,806,300,84.60918155312538,3306009
standard_dqn,806,300,84.15424192547798,3306010
standard_dqn,806,300,65.08311015367508,3306011
standard_dqn,806,300,73.30011220574379,3306012
standard_dqn,806,300,73.73128275722266,3306013
standard_dqn,806,300,90.5385869294405,3306014
standard_dqn,806,300,78.95934953689576,3306015
standard_dqn,806,300,79.34915325045586,3306016
standard_dqn,806,300,72.80248638242483,3306017
standard_dqn,806,300,75.9383275821805,3306018
standard_dqn,806,300,81.9384645074606,3306019
standard_dqn,806,600,88.61463615298271,3306000
standard_dqn,806,600,73.92582755684853,3306001
standard_dqn,806,600,85.22742837667465,3306002
standard_dqn,806,600,56.661219076812266,3306003
standard_dqn,806,600,79.84693235903978,3306004
standard_dqn,806,600,91.26428900659084,3306005
standard_dqn,806,600,83.3947458729148,3306006
standard_dqn,806,600,94.01072804629803,3306007
standard_dqn,806,600,80.95085198432207,3306008
standard_dqn,806,600,83.61825685948133,3306009
standard_dqn,806,600,84.76472047567367,3306010
standard_dqn,806,600,60.257245601713656,3306011
standard_dqn,806,600,73.53546233773231,3306012
standard_dqn,806,600,72.4728050917387,3306013
standard_dqn,806,600,89.79571881890297,3306014
standard_dqn,806,600,77.2962740674615,3306015
standard_dqn,806,600,78.86057236790657,3306016
standard_dqn,806,600,72.92957304418087,3306017
standard_dqn,806,600,73.52630946189166,3306018
standard_dqn,806,600,80.69153040051461,3306019
standard_dqn,806,900,88.68571001291275,3306000
standard_dqn,806,900,73.7476546406746,3306001
standard_dqn,806,900,83.1033164858818,3306002
standard_dqn,806,900,54.588518127799034,3306003
standard_dqn,806,900,76.59527625143528,3306004
standard_dqn,806,900,90.64318309724331,3306005
standard_dqn,806,900,81.9361598148942,3306006
standard_dqn,806,900,93.4147948473692,3306007
standard_dqn,806,900,80.02134043723345,3306008
standard_dqn,806,900,83.07968433201313,3306009
standard_dqn,806,900,84.02375820875167,3306010
standard_dqn,806,900,59.000835278630255,3306011
standard_dqn,806,900,72.77897407412529,3306012
standard_dqn,806,900,72.19090371727944,3306013
standard_dqn,806,900,89.25942569971085,3306014
standard_dqn,806,900,77.9646273046732,3306015
standard_dqn,806,900,77.24299496412277,3306016
standard_dqn,806,900,69.69105486571789,3306017
standard_dqn,806,900,73.02930933386088,3306018
standard_dqn,806,900,80.15999054163694,3306019
standard_dqn,807,300,75.7194055557251,3307000
standard_dqn,807,300,89.62073890864849,3307001
standard_dqn,807,300,92.11389093399048,3307002
standard_dqn,807,300,65.08752033412456,3307003
standard_dqn,807,300,101.26630713045597,3307004
standard_dqn,807,300,100.5876399949193,3307005
standard_dqn,807,300,92.88346202671528,3307006
standard_dqn,807,300,75.62461565434933,3307007
standard_dqn,807,300,94.78538482785225,3307008
standard_dqn,807,300,94.52518352270127,3307009
standard_dqn,807,300,87.0923351496458,3307010
standard_dqn,807,300,66.70676200836897,3307011
standard_dqn,807,300,87.99024646878243,3307012
standard_dqn,807,300,86.3730290696025,3307013
standard_dqn,807,300,78.48328005671502,3307014
standard_dqn,807,300,80.79764910936356,3307015
standard_dqn,807,300,84.23189982026815,3307016
standard_dqn,807,300,66.6678512185812,3307017
standard_dqn,807,300,81.75552843511105,3307018
standard_dqn,807,300,74.76969510316849,3307019
standard_dqn,807,600,74.07524258047343,3307000
standard_dqn,807,600,82.73273830115795,3307001
standard_dqn,807,600,87.69932925999164,3307002
standard_dqn,807,600,61.55459519028663,3307003
standard_dqn,807,600,97.59579563140869,3307004
standard_dqn,807,600,94.59278464317322,3307005
standard_dqn,807,600,89.02663260698318,3307006
standard_dqn,807,600,72.29124921560287,3307007
standard_dqn,807,600,90.22966906577349,3307008
standard_dqn,807,600,90.36464911103249,3307009
standard_dqn,807,600,83.42139387875795,3307010
standard_dqn,807,600,63.00262127071619,3307011
standard_dqn,807,600,84.1482087314129,3307012
standard_dqn,807,600,84.83268211185933,3307013
standard_dqn,807,600,75.76539372801781,3307014
standard_dqn,807,600,76.69777516573667,3307015
standard_dqn,807,600,83.26270142942667,3307016
standard_dqn,807,600,65.65562099367381,3307017
standard_dqn,807,600,79.67807594686747,3307018
standard_dqn,807,600,71.0380525663495,3307019
standard_dqn,807,900,71.14714332818986,3307000
standard_dqn,807,900,80.9819416552782,3307001
standard_dqn,807,900,85.26061451733112,3307002
standard_dqn,807,900,61.598632130026814,3307003
standard_dqn,807,900,98.07646536827087,3307004
standard_dqn,807,900,93.73558781445027,3307005
standard_dqn,807,900,88.29882125556469,3307006
standard_dqn,807,900,70.46751067787409,3307007
standard_dqn,807,900,89.26054176837206,3307008
standard_dqn,807,900,89.40829423964024,3307009
standard_dqn,807,900,81.79534066468477,3307010
standard_dqn,807,900,61.80198226124048,3307011
standard_dqn,807,900,83.65855228304864,3307012
standard_dqn,807,900,85.2227270692587,3307013
standard_dqn,807,900,75.06874450445176,3307014
standard_dqn,807,900,76.71473015397787,3307015
standard_dqn,807,900,77.27187772840261,3307016
standard_dqn,807,900,59.78868646323681,3307017
standard_dqn,807,900,78.9407419487834,3307018
standard_dqn,807,900,69.25196124613285,3307019
standard_dqn,808,300,81.97613854706287,3308000
standard_dqn,808,300,79.53832537680864,3308001
standard_dqn,808,300,93.16177295148373,3308002
standard_dqn,808,300,87.2312884554267,3308003
standard_dqn,808,300,100.58265748620033,3308004
standard_dqn,808,300,94.34462898373604,3308005
standard_dqn,808,300,87.23930723369122,3308006
standard_dqn,808,300,76.20744530260563,3308007
standard_dqn,808,300,85.74678287804127,3308008
standard_dqn,808,300,83.69592781364918,3308009
standard_dqn,808,300,86.0297614634037,3308010
standard_dqn,808,300,58.097949147224426,3308011
standard_dqn,808,300,89.41788873076439,3308012
standard_dqn,808,300,88.3629689514637,3308013
standard_dqn,808,300,79.6079725638032,3308014
standard_dqn,808,300,80.24421920776368,3308015
standard_dqn,808,300,71.51631823331118,3308016
standard_dqn,808,300,83.42398119866849,3308017
standard_dqn,808,300,81.42640737593175,3308018
standard_dqn,808,300,89.27879184931517,3308019
standard_dqn,808,600,79.57980918884277,3308000
standard_dqn,808,600,71.13979680985213,3308001
standard_dqn,808,600,91.29186984151602,3308002
standard_dqn,808,600,86.19022455066442,3308003
standard_dqn,808,600,95.76249436587095,3308004
standard_dqn,808,600,93.01022132635117,3308005
standard_dqn,808,600,83.38521336168051,3308006
standard_dqn,808,600,72.07399753630162,3308007
standard_dqn,808,600,84.87149509191514,3308008
standard_dqn,808,600,84.57592315971851,3308009
standard_dqn,808,600,83.36459028720856,3308010
standard_dqn,808,600,54.40653948485851,3308011
standard_dqn,808,600,84.55637164413929,3308012
standard_dqn,808,600,83.84574157744646,3308013
standard_dqn,808,600,74.21611517816783,3308014
standard_dqn,808,600,75.27610276043416,3308015
standard_dqn,808,600,67.72119499146939,3308016
standard_dqn,808,600,83.07508845031262,3308017
standard_dqn,808,600,71.27838820368052,3308018
standard_dqn,808,600,85.7282765030861,3308019
standard_dqn,808,900,80.23032772541046,3308000
standard_dqn,808,900,70.91127450913191,3308001
standard_dqn,808,900,89.81159526854753,3308002
standard_dqn,808,900,84.52767541259527,3308003
standard_dqn,808,900,94.9450436040759,3308004
standard_dqn,808,900,91.63139053583146,3308005
standard_dqn,808,900,81.48002942800522,3308006
standard_dqn,808,900,71.70294354259968,3308007
standard_dqn,808,900,84.5631486877799,3308008
standard_dqn,808,900,82.19446847736836,3308009
standard_dqn,808,900,82.06202636659145,3308010
standard_dqn,808,900,54.52159574627876,3308011
standard_dqn,808,900,82.69718683511019,3308012
standard_dqn,808,900,81.41029860824347,3308013
standard_dqn,808,900,73.5042414084077,3308014
standard_dqn,808,900,74.65805801153184,3308015
standard_dqn,808,900,65.2687518015504,3308016
standard_dqn,808,900,82.81732406616212,3308017
standard_dqn,808,900,70.53786728680134,3308018
standard_dqn,808,900,83.56769802123308,3308019
standard_dqn,809,300,101.1622256577015,3309000
standard_dqn,809,300,76.27767899930477,3309001
standard_dqn,809,300,89.22185045480728,3309002
standard_dqn,809,300,79.19507357627154,3309003
standard_dqn,809,300,91.52702729403973,3309004
standard_dqn,809,300,73.98391574025155,3309005
standard_dqn,809,300,78.13074308186769,3309006
standard_dqn,809,300,82.33372446149588,3309007
standard_dqn,809,300,92.36787821352482,3309008
standard_dqn,809,300,75.61793074756861,3309009
standard_dqn,809,300,85.07850435376167,3309010
standard_dqn,809,300,81.21941760480404,3309011
standard_dqn,809,300,90.97588619589806,3309012
standard_dqn,809,300,70.80185358971357,3309013
standard_dqn,809,300,70.60718133449555,3309014
standard_dqn,809,300,71.05445661395788,3309015
standard_dqn,809,300,89.0374656111002,3309016
standard_dqn,809,300,77.13654469251632,3309017
standard_dqn,809,300,71.83533859401942,3309018
standard_dqn,809,300,86.65161822140217,3309019
standard_dqn,809,600,100.32447729408742,3309000
standard_dqn,809,600,76.51650710701942,3309001
standard_dqn,809,600,88.5887997597456,3309002
standard_dqn,809,600,77.19541523009539,3309003
standard_dqn,809,600,91.0871593952179,3309004
standard_dqn,809,600,73.97089982181788,3309005
standard_dqn,809,600,78.49355065375566,3309006
standard_dqn,809,600,79.7988399118185,3309007
standard_dqn,809,600,91.92807733565569,3309008
standard_dqn,809,600,74.78611899167299,3309009
standard_dqn,809,600,83.17945738136768,3309010
standard_dqn,809,600,81.86586363464593,3309011
standard_dqn,809,600,88.2736182808876,3309012
standard_dqn,809,600,71.95175494998693,3309013
standard_dqn,809,600,71.3057906806469,3309014
standard_dqn,809,600,70.24050322175026,3309015
standard_dqn,809,600,88.71246046721936,3309016
standard_dqn,809,600,76.36662379950285,3309017
standard_dqn,809,600,71.86225910633803,3309018
standard_dqn,809,600,85.16585499942303,3309019
standard_dqn,809,900,102.63085755109788,3309000
standard_dqn,809,900,76.71693156957626,3309001
standard_dqn,809,900,90.69113287329674,3309002
standard_dqn,809,900,80.29211344718934,3309003
standard_dqn,809,900,92.01321666687727,3309004
standard_dqn,809,900,75.0956117078662,3309005
standard_dqn,809,900,79.18576939702034,3309006
standard_dqn,809,900,81.78513246774673,3309007
standard_dqn,809,900,92.2867976501584,3309008
standard_dqn,809,900,75.37029273062944,3309009
standard_dqn,809,900,85.95321973413229,3309010
standard_dqn,809,900,82.38352297693491,3309011
standard_dqn,809,900,91.73492477834225,3309012
standard_dqn,809,900,73.60538220405579,3309013
standard_dqn,809,900,70.77060987949372,3309014
standard_dqn,809,900,71.40655654668808,3309015
standard_dqn,809,900,90.20837437510491,3309016
standard_dqn,809,900,77.76326686441898,3309017
standard_dqn,809,900,73.1150299012661,3309018
standard_dqn,809,900,85.80920351445675,3309019
standard_dqn,810,300,86.05583401024342,3310000
standard_dqn,810,300,82.7092856541276,3310001
standard_dqn,810,300,88.1424695700407,3310002
standard_dqn,810,300,77.28366930931807,3310003
