policy,gamma,model_seed,total_cost,trace_seed
mpc4,0.99,816,96.46704862439574,3316017
mpc4,0.99,816,82.65081860546564,3316018
mpc4,0.99,816,96.92469745785257,3316019
mpc4,0.99,817,105.98566684650581,3317000
mpc4,0.99,817,96.08394334377287,3317001
mpc4,0.99,817,97.70326176434756,3317002
mpc4,0.99,817,84.45094990732653,3317003
mpc4,0.99,817,85.34966008514166,3317004
mpc4,0.99,817,107.01415171572484,3317005
mpc4,0.99,817,82.98226308971644,3317006
mpc4,0.99,817,102.56682087697399,3317007
mpc4,0.99,817,91.85358147323132,3317008
mpc4,0.99,817,57.5412275955081,3317009
mpc4,0.99,817,86.60300712267961,3317010
mpc4,0.99,817,98.72087159271979,3317011
mpc4,0.99,817,99.86390037311622,3317012
mpc4,0.99,817,106.2733042538166,3317013
mpc4,0.99,817,91.41532318144212,3317014
mpc4,0.99,817,98.87727593767451,3317015
mpc4,0.99,817,98.83325337251716,3317016
mpc4,0.99,817,95.46619705855846,3317017
mpc4,0.99,817,97.01448963415076,3317018
mpc4,0.99,817,74.51918020248414,3317019
mpc4,0.99,818,82.977198587358,3318000
mpc4,0.99,818,84.02384839162217,3318001
mpc4,0.99,818,87.16893730997613,3318002
mpc4,0.99,818,97.41369567245776,3318003
mpc4,0.99,818,90.55323173105717,3318004
mpc4,0.99,818,78.42336119399823,3318005
mpc4,0.99,818,99.3574615046382,3318006
mpc4,0.99,818,78.86632810200366,3318007
mpc4,0.99,818,91.97752556672172,3318008
mpc4,0.99,818,89.77124012230311,3318009
mpc4,0.99,818,88.85306336371417,3318010
mpc4,0.99,818,95.54983638375998,3318011
mpc4,0.99,818,112.79315253005714,3318012
mpc4,0.99,818,87.16234303934968,3318013
mpc4,0.99,818,104.7316695535325,3318014
mpc4,0.99,818,82.3446949377656,3318015
mpc4,0.99,818,65.858238594234,3318016
mpc4,0.99,818,76.25197633504868,3318017
mpc4,0.99,818,105.72086437046528,3318018
mpc4,0.99,818,102.43034719916241,3318019
mpc4,0.99,819,83.30299598872662,3319000
mpc4,0.99,819,99.91987966949802,3319001
mpc4,0.99,819,90.04990004771072,3319002
mpc4,0.99,819,80.72762090076495,3319003
