variant,model_seed,checkpoint_episode,training_steps,curve_file
full_action_q_dqn,819,600,38400,dqn_family_satellite_ground/results/revision_round2/training_length_models/full_action_q_dqn__gamma_0p97__seed_819__checkpoint_600__curve.csv
full_action_q_dqn,819,900,57600,dqn_family_satellite_ground/results/revision_round2/training_length_models/full_action_q_dqn__gamma_0p97__seed_819__checkpoint_900__curve.csv
immediate_advantage_dqn,800,300,19200,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_800__checkpoint_300__curve.csv
immediate_advantage_dqn,800,600,38400,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_800__checkpoint_600__curve.csv
immediate_advantage_dqn,800,900,57600,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_800__checkpoint_900__curve.csv
immediate_advantage_dqn,801,300,19200,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_801__checkpoint_300__curve.csv
immediate_advantage_dqn,801,600,38400,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_801__checkpoint_600__curve.csv
immediate_advantage_dqn,801,900,57600,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_801__checkpoint_900__curve.csv
immediate_advantage_dqn,802,300,19200,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_802__checkpoint_300__curve.csv
immediate_advantage_dqn,802,600,38400,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_802__checkpoint_600__curve.csv
immediate_advantage_dqn,802,900,57600,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_802__checkpoint_900__curve.csv
immediate_advantage_dqn,803,300,19200,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_803__checkpoint_300__curve.csv
immediate_advantage_dqn,803,600,38400,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_803__checkpoint_600__curve.csv
immediate_advantage_dqn,803,900,57600,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_803__checkpoint_900__curve.csv
immediate_advantage_dqn,804,300,19200,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_804__checkpoint_300__curve.csv
immediate_advantage_dqn,804,600,38400,dqn_family_satellite_ground/results/revision_round2/training_length_models/immediate_advantage_dqn__gamma_0p97__seed_804__checkpoint_600__curve.csv
