scenario,policy,model_seed,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
burst,centered_full_action_dqn_preview_0p85,801,98.84396602466703,32.35020592957735,66.4937601196766,1.592241554101929,18124.408234977724,845.0847801178694,0.0,29.15,0.0,1.3,0.0,0.19220687672495843,0.0,0.0,0.0,0.21875,0.78125
burst,centered_full_action_dqn_preview_0p85,802,96.23169951237739,31.898580008372665,64.33311959825457,1.5798286339268088,17978.18339147568,967.9200659453869,0.0,28.55,0.0,1.4,0.0,0.19062342420220374,0.0,0.0,0.0,0.29921875,0.70078125
burst,centered_full_action_dqn_preview_0p85,803,93.71624609649182,30.990496492013335,62.72574950650335,1.5600296476390212,17427.894249916077,928.7583927839994,0.0,28.15,0.0,0.75,0.0,0.19228143692016603,0.0,0.0,0.0,0.27421875,0.72578125
burst,centered_full_action_dqn_preview_0p85,804,97.120527760759,31.726838421449067,65.39368924990296,1.5740566107444465,17756.604119300842,857.3980609029531,0.0,29.1,0.0,1.3,0.0,0.19290023520588875,0.0,0.0,0.0,0.225,0.775
burst,centered_full_action_dqn_preview_0p85,805,98.12406775504351,32.11504385098815,66.00902385488152,1.6099382938351483,18435.231556320192,1100.693298319727,0.0,28.85,0.0,1.7,0.0,0.1904309667646885,0.0,0.0,0.00546875,0.35703125,0.6375
burst,centered_full_action_dqn_preview_0p85,806,97.21044012881815,31.867216643318535,65.34322353467346,1.5840153784491122,17901.843175983427,1026.0955859810115,0.0,28.45,0.0,1.4,0.0,0.19115734621882438,0.0,0.0,0.0,0.3046875,0.6953125
burst,centered_full_action_dqn_preview_0p85,807,97.2445966462046,32.05465786978603,65.1899388743937,1.5794920227956026,17860.541410827638,858.1355580180883,0.0,28.55,0.0,1.15,0.0,0.19271523058414458,0.0,0.0,0.0,0.21953125,0.78046875
burst,centered_full_action_dqn_preview_0p85,808,98.99286237083376,32.244035528600214,66.74882691860199,1.5839458181522788,17982.640381336212,835.77496329844,0.0,29.2,0.0,1.05,0.0,0.19237195923924447,0.0,0.0,0.0,0.20703125,0.79296875
burst,centered_full_action_dqn_preview_0p85,809,101.03558279834688,32.406596697121856,68.6289861291647,1.5958440025802703,18217.04269275665,962.2138615518809,0.0,29.85,0.0,1.45,0.0,0.19230415523052216,0.0,0.0,0.0,0.2828125,0.7171875
burst,centered_full_action_dqn_preview_0p85,810,95.50190336547793,30.921030264720322,64.5808731175214,1.5759581338148565,17751.395982837676,1089.7225292682647,0.0,28.3,0.0,1.0,0.0,0.19167643263936043,0.0,0.0,0.02734375,0.36015625,0.6125
burst,centered_full_action_dqn_preview_0p85,811,100.31202437862754,32.69427556172013,67.6177489040792,1.596581244794652,18075.684346675873,766.3162426143884,0.0,29.45,0.0,1.35,0.0,0.19103515669703483,0.0,0.0,0.0,0.15546875,0.84453125
burst,centered_full_action_dqn_preview_0p85,812,93.32950301259756,31.139389019086956,62.19011397078633,1.575012243213132,17835.56867570877,1059.19715718925,0.0,27.9,0.0,1.7,0.0,0.19224330335855483,0.0,0.0,0.0,0.3453125,0.6546875
burst,centered_full_action_dqn_preview_0p85,813,97.73069291390479,31.80485855601728,65.92583447523415,1.5861529116518795,17982.61203622818,980.6011331684888,0.0,28.9,0.0,1.3,0.0,0.19133980050683022,0.0,0.0,0.00078125,0.2953125,0.70390625
burst,centered_full_action_dqn_preview_0p85,814,96.63382316462696,32.002494213730095,64.63132899783552,1.5845620529726148,18077.943303775788,1084.431026148051,0.0,28.65,0.0,1.35,0.0,0.19197046682238578,0.0,0.0,0.02578125,0.346875,0.62734375
burst,centered_full_action_dqn_preview_0p85,815,96.88479836381973,31.473714335635304,65.41108392387629,1.5835181882604956,17970.676914691925,1024.6130586531012,0.0,28.9,0.0,0.85,0.0,0.1920544259250164,0.0,0.0,0.00703125,0.32265625,0.6703125
