profile,comparison,model_seed,difference
energy_plus20,centered_full_action_dqn - mpc_h4,817,-11.107644991680402
energy_plus20,centered_full_action_dqn - mpc_h4,818,-8.167609863938523
energy_plus20,centered_full_action_dqn - mpc_h4,819,-6.437222960857099
heat_plus20,centered_full_action_dqn - standard_dqn,800,-0.05165928229689598
heat_plus20,centered_full_action_dqn - standard_dqn,801,-0.8590305832773453
heat_plus20,centered_full_action_dqn - standard_dqn,802,-0.28416766516863845
heat_plus20,centered_full_action_dqn - standard_dqn,803,-0.3729931496083765
heat_plus20,centered_full_action_dqn - standard_dqn,804,-1.1847617949545395
heat_plus20,centered_full_action_dqn - standard_dqn,805,-0.8005859494954279
heat_plus20,centered_full_action_dqn - standard_dqn,806,-0.5495928915590014
heat_plus20,centered_full_action_dqn - standard_dqn,807,0.03544188283383676
heat_plus20,centered_full_action_dqn - standard_dqn,808,-1.0693913982063492
heat_plus20,centered_full_action_dqn - standard_dqn,809,0.16548266835511072
heat_plus20,centered_full_action_dqn - standard_dqn,810,-1.1846929828822539
heat_plus20,centered_full_action_dqn - standard_dqn,811,-0.9530490461736889
heat_plus20,centered_full_action_dqn - standard_dqn,812,0.12964000120759067
heat_plus20,centered_full_action_dqn - standard_dqn,813,-0.10674217127264285
heat_plus20,centered_full_action_dqn - standard_dqn,814,-0.529912069439888
heat_plus20,centered_full_action_dqn - standard_dqn,815,-3.015475742220872
heat_plus20,centered_full_action_dqn - standard_dqn,816,-1.0126254180073602
heat_plus20,centered_full_action_dqn - standard_dqn,817,-0.5863105352968034
heat_plus20,centered_full_action_dqn - standard_dqn,818,-0.3137906866893161
heat_plus20,centered_full_action_dqn - standard_dqn,819,-0.8945602552592788
heat_plus20,centered_full_action_dqn - mpc_h4,800,-13.070779066567042
heat_plus20,centered_full_action_dqn - mpc_h4,801,-13.683419003747659
heat_plus20,centered_full_action_dqn - mpc_h4,802,-13.290291377506307
heat_plus20,centered_full_action_dqn - mpc_h4,803,-13.874896217246587
heat_plus20,centered_full_action_dqn - mpc_h4,804,-14.543395456762582
heat_plus20,centered_full_action_dqn - mpc_h4,805,-14.170104709596785
heat_plus20,centered_full_action_dqn - mpc_h4,806,-12.97551122693126
heat_plus20,centered_full_action_dqn - mpc_h4,807,-11.450561177397333
heat_plus20,centered_full_action_dqn - mpc_h4,808,-13.568611145209005
heat_plus20,centered_full_action_dqn - mpc_h4,809,-11.75535188941899
heat_plus20,centered_full_action_dqn - mpc_h4,810,-15.34156189233488
