profile,policy,model_seed,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
link_minus20,immediate_argmin,816,235.41937861081618,28.53459197357297,206.88478664767405,2.0229100118391217,22971.697877025603,1779.7070332840085,0.0,34.45,36.5,2.4,0.0,0.19026544094085693,0.0,0.0,0.00078125,0.74921875,0.25
link_minus20,immediate_argmin,817,266.38746113444165,29.333314863219858,237.05414628090762,2.097919064760208,24090.096381759642,1854.0986061632634,0.0,36.85,41.55,2.4,0.0,0.19008340016007425,0.0,0.0,0.0,0.77734375,0.22265625
link_minus20,immediate_argmin,818,249.14771877872667,28.88577102534473,220.26194775710724,2.04381012278609,23324.986302947997,1812.982154735923,0.0,35.45,39.05,2.3,0.0,0.1901866689324379,0.0,0.0,0.0,0.7671875,0.2328125
link_minus20,immediate_argmin,819,243.57730096992145,28.69334197342396,214.88395899947773,2.0098047328647226,22840.819487762452,1794.9197175055742,0.0,35.3,37.55,2.25,0.0,0.1905496336519718,0.0,0.0,0.00078125,0.74921875,0.25
link_minus20,centered_full_action_dqn,800,88.46248585462571,29.38844730369747,59.074038629159325,1.557228732900694,17217.295654296875,689.8411907099187,0.0,26.7,0.0,0.95,0.0,0.1919506959617138,0.0,0.0,0.0078125,0.17109375,0.82109375
link_minus20,centered_full_action_dqn,801,90.13585807003082,30.59059060998261,59.54526755988597,1.5741391798015685,17713.18694343567,587.87953087762,0.0,27.2,0.0,0.75,0.0,0.19363974407315254,0.0,0.0,0.0046875,0.10625,0.8890625
link_minus20,centered_full_action_dqn,802,88.12524633906781,29.68256555683911,58.4426807591319,1.5765664022881538,17652.157524490358,758.526945027709,0.0,26.25,0.0,1.05,0.0,0.19156710281968117,0.0,0.0,0.0,0.2140625,0.7859375
link_minus20,centered_full_action_dqn,803,85.99958715356885,29.276046695187688,56.72354045912623,1.5482263004872947,17122.420714473723,660.1805696338415,0.0,25.55,0.0,0.55,0.0,0.19336052760481834,0.0,0.0,0.0,0.16171875,0.83828125
link_minus20,centered_full_action_dqn,804,87.57465868331492,29.755482820793986,57.819175814837216,1.5593877858482301,17331.48369655609,625.0441831283272,0.0,26.7,0.0,1.15,0.0,0.19290023520588875,0.0,0.0,0.00546875,0.13203125,0.8625
link_minus20,centered_full_action_dqn,805,88.65397420600057,29.924190071225166,58.729784074425694,1.5893195044714958,17792.090773773194,747.8615281313657,0.0,26.35,0.0,1.15,0.0,0.19173748642206193,0.0,0.0,0.003125,0.18984375,0.80703125
link_minus20,centered_full_action_dqn,806,88.97492243945598,29.847797352820635,59.12712495625019,1.5725853339768947,17577.675273132325,738.7220421329141,0.0,26.45,0.0,1.2,0.0,0.19260044246912003,0.0,0.0,0.00234375,0.19765625,0.8
link_minus20,centered_full_action_dqn,807,90.67816189430654,30.78521598428488,59.892945850044484,1.5725402883253992,17617.704917907715,557.3285290271044,0.0,26.8,0.0,0.9,0.0,0.19336594715714456,0.0,0.0,0.0,0.07734375,0.92265625
link_minus20,centered_full_action_dqn,808,90.6364315403998,30.345483246073126,60.29094829171896,1.5711325442418456,17586.501039028168,630.6539251178503,0.0,27.2,0.0,0.75,0.0,0.1926097884774208,0.0,0.0,0.0,0.11875,0.88125
link_minus20,centered_full_action_dqn,809,91.93014626711607,30.087830109149216,61.84231618404389,1.5869853648822754,17849.770987606047,752.185419896245,0.0,27.6,0.0,1.3,0.0,0.19230415523052216,0.0,0.0,0.0,0.20703125,0.79296875
link_minus20,centered_full_action_dqn,810,86.60753765776754,28.68927170149982,57.918266016989946,1.575181097444147,17387.649809646606,846.3444802120327,0.0,26.4,0.0,0.85,0.0,0.19176238924264907,0.0,0.0,0.01015625,0.26015625,0.7296875
link_minus20,centered_full_action_dqn,811,90.15426902495325,30.121789320930837,60.03247974276543,1.5666277604177594,17466.244778251646,614.8570283412934,0.0,27.1,0.0,1.1,0.0,0.19171246588230134,0.0,0.0,0.0,0.1171875,0.8828125
