scenario,policy,model_seed,mean_difference,dqn_total_cost,mpc_total_cost,n_traces
energy_limited,standard_dqn,814,-6.961144696439033,117.89109291434288,124.85223761078191,20
energy_limited,standard_dqn,815,-2.5100636453831155,123.55005578689277,126.06011943227588,20
energy_limited,standard_dqn,816,-8.09536891567167,114.73728183880448,122.83265075447616,20
energy_limited,standard_dqn,817,-9.068111931711254,119.33558696895838,128.40369890066964,20
energy_limited,standard_dqn,818,-5.795127344385198,119.47118332497776,125.26631066936295,20
energy_limited,standard_dqn,819,-3.0006079427982657,120.72655962109566,123.72716756389393,20
link_limited,centered_full_action_dqn,800,-14.607321528867061,101.7431568595022,116.35047838836927,20
link_limited,centered_full_action_dqn,801,-14.313775738900867,104.61250798135995,118.92628372026084,20
link_limited,centered_full_action_dqn,802,-15.521795051283442,101.15520610712468,116.67700115840812,20
link_limited,centered_full_action_dqn,803,-14.380284444174311,98.93351683489979,113.3138012790741,20
link_limited,centered_full_action_dqn,804,-13.527055417758827,101.90182127818466,115.42887669594347,20
link_limited,centered_full_action_dqn,805,-13.448653144968551,102.00417162686587,115.45282477183441,20
link_limited,centered_full_action_dqn,806,-14.386807452073475,101.14213405974209,115.52894151181556,20
link_limited,centered_full_action_dqn,807,-13.82963919537857,102.98293033622205,116.81256953160062,20
