file,sha256,variant,model_seed,episodes,horizon,training_steps,state_dim,bellman_target,replay,training_wall_time_s,optimizer_updates,preview_calls,preview_action_evaluations
double_centered_full_action_dqn__double_lambda_0p3__seed_801.pth,30cdc3f144e813a2f99c162561a2b6b92ca36eb6cf67f662f87035c06ffd6d8a,double_centered_full_action_dqn,801,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,49.39135859999806,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_802.pth,58b8283256ad89452f6ae404421c930b7dbab11d3ef7fe7f97ab973dd0b53bc4,double_centered_full_action_dqn,802,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,54.457595200045034,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_803.pth,b58bd41a2d143157a9bad1f19a7c5563dd67ab2b7ccd3ebec3f15d8121dc76d5,double_centered_full_action_dqn,803,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,48.86783310002647,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_804.pth,bcd8f37f46976f65d423659943fa4bb03e144c990ca7930a8102dd5764cd96fe,double_centered_full_action_dqn,804,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,56.912275600014254,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_805.pth,d46f4bbdee1b1333b6a3de57150b522e3db4d1566977d97f0d9dd9aff89ce0f4,double_centered_full_action_dqn,805,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,48.91838030004874,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_806.pth,9e554313dab7bcfc97de34a89c34298f04de9b19bb07a34c8a96e987c669a5c0,double_centered_full_action_dqn,806,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,57.93984360003378,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_807.pth,5c7e1c3af1dd6857a5073963043fc457f6b2566eedfa06383d176694246553fe,double_centered_full_action_dqn,807,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,49.163770199986175,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_808.pth,ab220569a601efd4c259fbcfd55018c4f5da341261cb0875a552db56fc80af17,double_centered_full_action_dqn,808,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,57.9856037000427,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_809.pth,6ed2fc930c59b365a2a48c34a7e020464e4dc9e37193b8997e320ccc016de4a7,double_centered_full_action_dqn,809,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,50.99467029992957,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_810.pth,056bc40b80c759a2acab1be6de1a1a0eedc2a25e40a02f22e1e420d006f13dcd,double_centered_full_action_dqn,810,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,57.15350319992285,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_811.pth,49343eb7a1786be8446b8f13030572a174daa5b353c174fd72480651a1a5f84d,double_centered_full_action_dqn,811,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,48.99700950004626,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_812.pth,8de22053f4610847a4782d2364c407482a1d72baba260461aca7428f14d0b5aa,double_centered_full_action_dqn,812,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,57.04343019996304,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_813.pth,6c4e7f131571b28864629b799611372fbe35b5a0dd3b7c0c9f85edac5983d60e,double_centered_full_action_dqn,813,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,51.36977210000623,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_814.pth,15d51966b9660b654fd395c575d6900abd72f1c9cf14864dd9550a24f9b8ec7a,double_centered_full_action_dqn,814,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,58.807785400073044,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_815.pth,287d6cd974c76463fb0caaae92337331778ed720d5b860701af2c85c5fe64745,double_centered_full_action_dqn,815,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,48.903766600065865,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_816.pth,93e91f5818b16e87ffe4af002c391f843253dd556aa6d8f9a33edaf78949777a,double_centered_full_action_dqn,816,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,56.015408399980515,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_817.pth,ca1e40b9ac599a466e76f06fea8783e6f5b2501493488769060d5c8a0861d3eb,double_centered_full_action_dqn,817,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,52.12641879997682,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_818.pth,12b759a742b5617f898746f9770936c2752ae94425deb4db53aa2479371d5b5f,double_centered_full_action_dqn,818,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,57.68993069999851,9569,38400,115200
double_centered_full_action_dqn__double_lambda_0p3__seed_819.pth,d03a9e89abc383a0be26aa0c98e8c0a9fe4ee86d9e5588bbc82ec5553c56bfd9,double_centered_full_action_dqn,819,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,48.3344550000038,9569,38400,115200
double_dqn__double__seed_800.pth,ed76e3078d315ca58dfb9d3a5e99e3f3846124954784e9ef6987492cb9bd7ff4,double_dqn,800,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,40.63429970003199,9569,0,0
double_dqn__double__seed_801.pth,8373458c19c059756065ca23c5796e5abed0afe03a620c0fd8a4a793d6875791,double_dqn,801,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,34.7599884000374,9569,0,0
double_dqn__double__seed_802.pth,2edf89c4c33fe5673128c65634fd212077c0fd7ed570d1e0a7780a1549d6b9db,double_dqn,802,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,38.6396218999289,9569,0,0
double_dqn__double__seed_803.pth,82f2b6bdcc253e5969dc5c089dfa66c2c78d0a00d7b1b0ccb83403dfe88b604b,double_dqn,803,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,34.799235999933444,9569,0,0
