scenario,policy,model_seed,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
burst,immediate_advantage_dqn,810,95.42650902472437,30.15211295597255,65.27439595066011,1.5882612675428391,17688.972038555145,1203.6728228241204,0.0,28.45,0.0,1.15,0.0,0.19167643263936043,0.0,0.0,0.0,0.403125,0.596875
burst,immediate_advantage_dqn,811,100.61219285018743,32.83232348971069,67.77986933067442,1.5960923328064383,18108.447446250917,725.873806425929,0.0,29.35,0.0,1.25,0.0,0.1916767254471779,0.0,0.0,0.0,0.13515625,0.86484375
burst,immediate_advantage_dqn,812,93.75798907719552,30.831022121757268,62.9269669945538,1.5829731011297554,17855.881711483,1158.0440245121717,0.0,28.0,0.0,1.75,0.0,0.19255728870630265,0.0,0.0,0.0,0.38671875,0.61328125
burst,immediate_advantage_dqn,813,98.29912219896913,31.724330140650274,66.57479222260415,1.5886425120290368,17875.65163154602,953.3290915623307,0.0,29.2,0.0,1.35,0.0,0.19133980050683022,0.0,0.0,0.0015625,0.2609375,0.7375
burst,immediate_advantage_dqn,814,95.61061685889959,31.25786003768444,64.35275679253041,1.5847684373147786,17952.064207458498,1131.1120420120656,0.0,28.45,0.0,1.25,0.0,0.19198547303676605,0.0,0.0,0.00234375,0.371875,0.62578125
burst,immediate_advantage_dqn,815,96.99269620098174,31.365989837795496,65.62670626595616,1.592003956437111,18113.395404720308,1068.477088701725,0.0,28.9,0.0,1.0,0.0,0.19287444427609443,0.0,0.0,0.0,0.34921875,0.65078125
burst,immediate_advantage_dqn,816,93.53043148145079,30.29132725931704,63.23910413458943,1.5741491146385669,17546.065026950837,1121.9117317676544,0.0,27.85,0.0,1.0,0.0,0.19159194752573966,0.0,0.0,0.0,0.36328125,0.63671875
burst,immediate_advantage_dqn,817,97.0995662420988,31.242586878314615,65.85697926059365,1.5906602867878974,17965.331794548034,1125.6347395814955,0.0,28.7,0.0,1.6,0.0,0.19125127121806146,0.0,0.0,0.00546875,0.3609375,0.63359375
burst,immediate_advantage_dqn,818,98.16329844169319,31.449741202965377,66.71355735234917,1.5805599358398468,17833.326727581025,1019.7541854918003,0.0,29.1,0.0,1.3,0.0,0.19164447784423827,0.0,0.0,0.0,0.3265625,0.6734375
burst,immediate_advantage_dqn,819,96.06012546360492,32.53265390098095,63.52747155517339,1.5815169925335795,17965.630926418304,750.2786801487207,0.0,28.2,0.0,0.85,0.0,0.19242409914731978,0.0,0.0,0.0,0.1625,0.8375
burst,standard_dqn,800,97.03856827266515,31.06114929020405,65.97741903685034,1.5747275528497995,17671.898674678803,1039.418385693431,0.0,28.95,0.0,1.45,0.0,0.1916680082678795,0.0,0.0,0.0,0.3296875,0.6703125
