policy,model_seed,trace_seed,scenario,environment_scenario,coupling,generator,compute_scale,data_scale,energy_scale,heat_scale,link_scale,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction,profile
standard_dqn,800,3300017,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,78.20591937154532,27.06537925451994,51.1405399531126,1.4608577564358711,15492.237552642822,870.2169405817986,0.0,26.0,0.0,1.0,0.0,0.19759902358055115,0.0,0.0,0.0,0.3125,0.6875,reference
standard_dqn,800,3300018,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,84.98811899125576,29.860600396990776,55.12751853466034,1.538855280727148,16960.036041259766,860.1074631214142,0.0,26.0,0.0,2.0,0.0,0.18987779319286346,0.0,0.0,0.0,0.21875,0.78125,reference
standard_dqn,800,3300019,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,69.94973243772984,26.39419713616371,43.55553513765335,1.4133048066869378,14643.958972930908,759.5530873537064,0.0,22.0,0.0,1.0,0.0,0.19371718168258667,0.0,0.0,0.0,0.25,0.75,reference
centered_full_action_dqn,800,3300000,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,78.63307542353868,28.054116435348988,50.57895877957344,1.5090033430606127,16247.498600006104,950.5802518129349,0.0,24.0,0.0,1.0,0.0,0.19067271053791046,0.0,0.0,0.0,0.265625,0.734375,reference
centered_full_action_dqn,800,3300001,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,74.08921332061291,27.29842957854271,46.79078380167484,1.4545923173427582,16066.47329711914,1053.7426657676697,0.0,22.0,0.0,1.0,0.0,0.19285671412944794,0.0,0.0,0.0,0.4375,0.5625,reference
centered_full_action_dqn,800,3300002,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,71.15632298588753,25.358154639601707,45.79816836118698,1.3792206505313516,14042.925060272217,887.9303544014692,0.0,22.0,0.0,0.0,0.0,0.18960252404212952,0.0,0.0,0.015625,0.34375,0.640625,reference
centered_full_action_dqn,800,3300003,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,86.76229148507119,28.36445638537407,58.39783517420292,1.4819027045741677,16341.505947113037,824.1949517726898,0.0,26.0,0.0,1.0,0.0,0.1899464726448059,0.0,0.0,0.0,0.265625,0.734375,reference
centered_full_action_dqn,800,3300004,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,79.77624224126339,27.859161630272865,51.91708081960678,1.470779923722148,15899.219715118408,937.2005534172058,0.0,24.0,0.0,0.0,0.0,0.20073145627975464,0.0,0.0,0.0,0.34375,0.65625,reference
centered_full_action_dqn,800,3300005,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,72.58599503487349,27.351727567613125,45.23426734805107,1.4500392591580749,15593.31901550293,892.0302492380142,0.0,22.0,0.0,1.0,0.0,0.1912020593881607,0.0,0.0,0.0,0.328125,0.671875,reference
centered_full_action_dqn,800,3300006,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,71.23956810086966,27.093215011060238,44.14635300040245,1.4429038325324655,15452.486988067627,938.5161739587784,0.0,21.0,0.0,2.0,0.0,0.19521889090538025,0.0,0.0,0.0,0.34375,0.65625,reference
